,TCUID,Company,Country,ISIN,GICS Sector Name,Carbon-Scope 1  (tonnes CO2e),Carbon-Scope 2  (tonnes CO2e),Carbon-Scope 3 (tonnes CO2e),Carbon Intensity-Scope 1 (tonnes CO2e/USD mn),Carbon Intensity-Scope 2 (tonnes CO2e/USD mn),Carbon Intensity-Scope 3 (tonnes CO2e/USD mn),Carbon Disclosure,Revenue (USD mn)
11,42694,Erste Group Bank AG,AUSTRIA,AT0000652011,Financials,24929.0,32562.0,157039.6,3.732,4.875,23.512,Value derived from data provided in Annual Report/Financial Accounts Disclosure,6679.21393004009
23,42695,Telekom Austria AG,AUSTRIA,AT0000720008,Communication Services,20562.0,288120.0,254712.691,4.042,56.631,50.065,Value derived from data provided in CDP,5087.6319
35,42696,Amcor plc,SWITZERLAND,JE00BJ1F3079,Materials,540093.0,1509900.949,4150434.49,43.32,121.107,332.9,Value derived from data provided in CDP,12467.5
231,42719,Solvay SA,BELGIUM,BE0003470755,Materials,8894054.0,1391253.626,3703693.281,803.339,125.662,334.529,Exact Value from CDP,11071.357498892865
243,42720,KBC Group NV,BELGIUM,BE0003565737,Financials,25199.53,42844.88,174906.195,3.612,6.14,25.067,Value derived from data provided in CDP,6977.439637264443
254,42722,D'Ieteren Group SA,BELGIUM,BE0974259880,Consumer Discretionary,128347.004,31982.036,265241.433,33.94,8.457,70.139,Value summed up from data provided in Annual Report/Financial Accounts Disclosure,3781.630929553415
266,42723,UCB SA,BELGIUM,BE0003739530,Health Care,32783.061,19711.007,527272.294,5.379,3.234,86.521,Exact Value from CDP,6094.147499390585
280,42724,Agfa-Gevaert NV,BELGIUM,BE0003755692,Health Care,92500.663,54306.316,205491.826,47.49,27.881,105.499,Exact Value from Annual Report/10K/Financial Accounts Disclosure,1947.802081227928
284,42725,Barco NV,BELGIUM,BE0974362940,Information Technology,3151.855,4941.0,150406.137,3.591,5.63,171.366,Exact Value from CDP,877.688299824462
300,42727,Groupe Bruxelles Lambert SA,BELGIUM,BE0003797140,Financials,211962.5,322116.677,2816618.654,13.974,21.236,185.685,Estimate used instead of disclosure - data does not cover global operations,15168.76286629378
334,42732,Trane Technologies plc,IRELAND,IE00BK9ZQ967,Industrials,273780.872,139202.154,3462340.667,21.982,11.177,277.995,Exact Value from CDP,12454.7
445,42741,Swisscom AG,SWITZERLAND,CH0008742519,Communication Services,14420.0,54124.128,585927.789,1.22,4.578,49.561,Exact Value from CDP,11822.3029
457,42742,Givaudan SA,SWITZERLAND,CH0010645932,Materials,98180.0,114903.0,1081430.069,14.581,17.065,160.607,Value derived from data provided in CDP,6733.387145416453
472,42745,Nestle SA,SWITZERLAND,CH0038863350,Consumer Staples,3215404.02,3052234.0,60295634.816,35.651,33.842,668.53,Value derived from data provided in CDP,90191.3897729426
488,42746,Adecco Group AG,SWITZERLAND,CH0012138605,Industrials,35475.141,27693.166,429995.036,1.591,1.242,19.287,Exact Value from CDP,22294.2995
502,42747,Holcim Ltd,SWITZERLAND,CH0012214059,Materials,109946222.137,6461306.464,15277991.14,4460.672,262.144,619.85,Exact Value from CDP,24647.90323413913
516,42748,Swiss Re AG,SWITZERLAND,CH0126881561,Financials,2962.0,11387.037,1074834.102,0.068,0.263,24.797,Value derived from data provided in CDP,43345.0
532,42749,Baloise Holding AG,SWITZERLAND,CH0012410517,Financials,2661.277,8885.195,219885.244,0.293,0.978,24.201,Value derived from data provided in Annual Report/Financial Accounts Disclosure,9085.918825768467
548,42751,PICC Property and Casualty Company Limited,CHINA,CNE100000593,Financials,30639.956,114364.746,1451961.048,0.513,1.916,24.326,Estimate used instead of disclosure - data does not cover global operations,59687.607
560,42752,China Petroleum & Chemical Corporation,CHINA,CNE1000002Q2,Energy,128580000.0,42360000.0,45338032.353,421.366,138.817,148.576,Value derived from data provided in Environmental/CSR,305150.22121037205
568,42753,"Baoshan Iron & Steel Co., Ltd.",CHINA,CNE0000015R4,Materials,90412748.991,8788242.63,23005131.081,2193.743,213.235,558.188,Derived from previous year,41213.92248222324
583,42754,Aluminum Corporation of China Limited,CHINA,CNE1000001T8,Materials,61012300.0,28027700.0,5310352.898,2263.91,1039.99,197.045,Value derived from data provided in Environmental/CSR,26949.961997592276
611,42757,"Huaneng Power International, Inc.",CHINA,CNE1000006Z4,Utilities,333288800.0,113700.0,19000372.925,13575.261,4.631,773.908,Value derived from data provided in Environmental/CSR,24551.188243942834
622,42758,"Shanghai Pudong Development Bank Co., Ltd.",CHINA,CNE0000011B7,Financials,12412.419,16709.3,375342.796,0.738,0.993,22.309,Estimated data,16824.9750933372
636,42759,PetroChina Company Limited,CHINA,CNE1000003W8,Energy,127570000.0,39870000.0,42724573.096,455.271,142.288,152.475,Value derived from data provided in Environmental/CSR,280206.54634395865
648,42760,Adidas AG,GERMANY,DE000A1EWWW0,Consumer Discretionary,6748.0,56144.922,1042024.071,0.298,2.482,46.073,Value derived from data provided in CDP,22616.8436
668,42762,BASF SE,GERMANY,DE000BASF111,Materials,18442451.744,3362000.0,23974582.171,273.57,49.871,355.632,Exact Value from CDP,67414.0135730344
680,42763,Beiersdorf Aktiengesellschaft,GERMANY,DE0005200000,Consumer Staples,38929.4,57441.0,1587659.718,4.862,7.174,198.293,Exact Value from CDP,8006.617999199338
692,42764,EnBW Energie Baden-Wuerttemberg AG,GERMANY,DE0005220008,Utilities,9559187.0,709033.0,6404671.3,425.871,31.588,285.334,Exact Value from CDP,22446.225051725996
707,42766,Continental Aktiengesellschaft,GERMANY,DE0005439004,Consumer Discretionary,793760.389,2201184.689,14973529.607,18.462,51.198,348.276,Exact Value from CDP,42993.31589570067
721,42767,Deutsche Post AG,GERMANY,DE0005552004,Industrials,6580000.0,668047.263,6947461.056,83.791,8.507,88.47,Value derived from data provided in CDP,78528.67828214473
733,42768,Deutsche Telekom AG,GERMANY,DE0005557508,Communication Services,235519.24,4815423.0,5922452.151,1.991,40.707,50.065,Exact Value from CDP,118295.07334949324
745,42769,Bayer Aktiengesellschaft,GERMANY,DE000BAY0017,Health Care,2002024.081,1750335.807,7656720.269,42.429,37.095,162.271,Exact Value from CDP,47184.90859056301
759,42770,Fresenius SE & Co. KGaA,GERMANY,DE0005785604,Health Care,537000.0,984000.0,4742855.548,12.988,23.799,114.711,Value derived from data provided in Annual Report/Financial Accounts Disclosure,41346.05973881774
774,42771,Deutsche Boerse AG,GERMANY,DE0005810055,Financials,5310.111,31181.834,133610.539,1.253,7.36,31.537,Exact Value from CDP,4236.611993177563
790,42773,HeidelbergCement AG,GERMANY,DE0006047004,Materials,68707811.192,4957586.556,12621997.978,3413.233,246.281,627.029,Exact Value from CDP,20129.833628945904
802,42774,Henkel AG & Co. KGaA,GERMANY,DE0006048432,Consumer Staples,336922.835,332812.159,5391399.418,15.357,15.169,245.736,Exact Value from CDP,21939.842797806014
814,42776,Infineon Technologies AG,GERMANY,DE0006231004,Information Technology,229890.0,635194.825,1438154.979,23.981,66.261,150.023,Value derived from data provided in Environmental/CSR,9586.231819409326
847,42779,MLP SE,GERMANY,DE0006569908,Financials,2915.8,6523.96,26307.627,3.334,7.46,30.082,Value derived from data provided in Environmental/CSR,874.51651951776
878,42783,Mercedes-Benz Group AG,GERMANY,DE0007100000,Consumer Discretionary,1039405.184,1515290.035,40903560.458,5.91,8.616,232.577,Exact Value from CDP,175870.9194824129
890,42784,SAP SE,GERMANY,DE0007164600,Information Technology,97370.0,124967.0,1161916.089,3.125,4.011,37.291,Exact Value from CDP,31157.996050167403
903,42786,Siemens Aktiengesellschaft,GERMANY,DE0007236101,Industrials,524000.0,733129.466,7729244.292,8.196,11.466,120.889,Exact Value from CDP,63936.93238721261
915,42787,CECONOMY AG,GERMANY,DE0007257503,Consumer Discretionary,492766.693,934984.442,1204549.094,21.14,40.112,51.677,Estimate used instead of disclosure - data does not cover global operations,23309.3026
927,42788,ThyssenKrupp AG,GERMANY,DE0007500001,Materials,21350000.0,1400000.0,11844892.913,660.231,43.294,366.293,Value derived from data provided in CDP,32337.167290298847
944,42790,Deutsche Lufthansa AG,GERMANY,DE0008232125,Industrials,11509756.0,222309.0,1743403.435,741.294,14.318,112.285,Exact Value from Environmental/CSR,15526.569779150415
964,42792,AP Moller - Maersk AS,DENMARK,DK0010244508,Industrials,33901344.51,305000.0,4618724.491,853.079,7.675,116.224,Value derived from data provided in CDP,39740.0
992,42795,Novozymes A/S,DENMARK,DK0060336014,Materials,45897.009,447481.16,1017819.962,21.425,208.884,475.117,Exact Value from Annual Report/10K/Financial Accounts Disclosure,2142.2518
1004,42796,Danske Bank A/S,DENMARK,DK0010274414,Financials,1304.275,10529.727,137323.231,0.218,1.76,22.948,Exact Value from CDP,5983.99485775705
1020,42797,Novo Nordisk A/S,DENMARK,DK0060534915,Health Care,76972.272,128797.647,1709986.379,3.966,6.636,88.106,Exact Value from CDP,19408.385298059166
1046,42799,"Naturgy Energy Group, S.A.",SPAIN,ES0116870314,Utilities,14301875.0,1153608.053,4562379.219,817.755,65.961,260.869,Exact Value from CDP,17489.18895836336
1060,42800,"Iberdrola, S.A.",SPAIN,ES0144580Y14,Utilities,13002609.0,1890456.0,3907877.435,344.198,50.043,103.447,Exact Value from CDP,37776.53429622234
1078,42802,Inditex SA,SPAIN,ES0148396007,Consumer Discretionary,17311.0,1258142.017,1987343.078,0.548,39.826,62.908,Exact Value from CDP,31591.017710271622
1090,42803,"NH Hotel Group, S.A.",SPAIN,ES0161560018,Consumer Discretionary,33650.0,58002.0,41410.928,55.068,94.919,67.768,Value derived from data provided in CDP,611.067341047603
1102,42804,"Repsol, S.A.",SPAIN,ES0173516115,Energy,22000282.134,454197.0,8224322.885,683.317,14.107,255.443,Exact Value from CDP,32196.29280346404
1118,42807,TietoEVRY Oyj,FINLAND,FI0009000277,Information Technology,143.0,12372.605,142005.827,0.045,3.891,44.66,Exact Value from CDP,3179.738564675004
1123,42808,Finnair Oyj,FINLAND,FI0009003230,Industrials,1177827.32,5993.965,118411.211,1246.291,6.342,125.294,Exact Value from CDP,945.065851044307
1139,42809,Sampo Oyj,FINLAND,FI0009003305,Financials,1515.0,2890.494,239929.701,0.154,0.294,24.413,Value derived from data provided in Environmental/CSR,9827.909507377422
1151,42811,UPM-Kymmene Oyj,FINLAND,FI0009005987,Materials,2730000.0,2650000.0,2687317.389,279.172,270.992,274.808,Value derived from data provided in CDP,9778.90139902211
1165,42812,Fortum Oyj,FINLAND,FI0009007132,Utilities,49043500.0,632117.764,18431069.902,877.909,11.315,329.928,Exact Value from CDP,55863.968514278145
1177,42813,Neles Oyj,FINLAND,FI4000440664,Industrials,6199.908,13311.298,120864.353,9.444,20.277,184.108,Estimate used instead of disclosure - data does not cover global operations,656.485678180847
1189,42814,Air France-KLM SA,FRANCE,FR0000031122,Industrials,14368425.957,18706.69,1581682.537,1136.981,1.48,125.159,Exact Value from CDP,12637.349398736264
1201,42815,AtoS SE,FRANCE,FR0000051732,Information Technology,21563.837,52172.567,483109.953,1.692,4.094,37.911,Exact Value from CDP,12743.344598725665
1214,42816,TF1-Television Francaise,FRANCE,FR0000054900,Communication Services,732.0,866.0,105125.275,0.309,0.365,44.308,Value derived from data provided in Annual Report/Financial Accounts Disclosure,2372.580221144221
1226,42818,L'Air Liquide S.A.,FRANCE,FR0000120073,Materials,14956718.639,12516000.0,5492566.027,640.609,536.071,235.251,Exact Value from CDP,23347.63979766524
1238,42820,L'Oreal,FRANCE,FR0000120321,Consumer Staples,43030.53,133578.0,5406821.497,1.349,4.187,169.474,Exact Value from CDP,31903.4947
1254,42821,Accor SA,FRANCE,FR0000120404,Consumer Discretionary,201098.0,1070202.015,129245.975,108.848,579.269,69.957,Exact Value from CDP,1847.5057
1266,42822,Bouygues SA,FRANCE,FR0000120503,Industrials,1881000.0,299000.0,5596392.301,47.48,7.547,141.262,Exact Value from CDP,39617.087496038286
